"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"
"WK16-34"	0.102705516376312	0.180820219176711	-0.00841391399355275	-0.0470982147678953	-0.0293534418566659	-0.166684956535381	-0.0639502573390881	-0.12102079438758	-0.201177310989894	-0.0293130707977682	-0.0618244897445724	-0.0159147635695656	0.0446262971775976	-0.0717461668202716	-0.0261046756074859	0.178820207611092	-0.052852394645496	0.139781940821809	0.0273293637679525	-0.0220156125006327
"WK16-49"	0.127194752173741	-0.00789873513379755	-0.126037263091775	0.0491812890340306	0.0610240327859524	-0.00526939726394901	-0.0568142483743849	0.0126324246616178	0.00111959476055689	-0.273654890320718	0.136018496253454	0.0984358720696909	-0.0926818851641938	0.217788594183285	-0.0370643072069945	0.0759965587197782	-0.197907533554718	0.0745014603639115	-0.0799779387510891	-0.055409069644688
"WK16-68"	0.0919904757773378	0.0789584906969038	0.160010929141447	0.384451408130579	-0.0569147426550857	0.0455657948992509	-0.162543719377529	-0.00533036868965576	0.102494946261361	0.0325355543830085	0.190577907377963	0.110552327968	-0.139247145493411	-0.134034429906226	-0.0586266247558596	0.0359205650409822	-0.144217634951777	-0.0337688794595817	0.0930042470165828	0.101075614811346
"WK16-85"	0.103121226559093	-0.135264298499094	-0.0843894539614661	-0.0555555962542889	0.0977538452067587	-0.00852815529229146	-0.129178975744415	-0.259470816857008	-0.152062811704806	0.0175397740126526	-0.190019911321413	0.0555236346483355	0.163112150532929	-0.09311175877316	-0.0179785320748875	-0.164069007889144	0.0919535223847857	-0.0825246670344153	-0.0306216962501057	-0.190498980988066
"WK16-98"	0.106907037961761	0.0590852630675403	-0.105911992734983	-0.291918337786964	-0.206453419118643	-0.0571111350389265	-0.00443408563774045	0.0618545850635191	0.0393372444627738	0.0535058166308846	0.0573374272624385	-0.0248461635567491	0.15721464831591	0.00212762296966751	0.0647444546426076	0.152741094848476	0.189867937761224	-0.00510663605941749	-0.078965195634477	0.0748997805229278
"WP-08"	-0.109830550735136	0.0153961287996318	-0.00694167070077997	-0.017970969473052	-0.0409470740317716	0.0252110412310696	0.0464175252270122	0.0469279496965454	0.0509822974365799	-0.0206079888885085	-0.00422133200299494	-0.0231470518528738	-0.099500942571478	0.0015641269553498	0.0125591998445908	0.125243549518342	0.0170747879935072	-0.246952832492588	0.120669044524871	0.094959656418496
"WP-16"	-0.105056735963788	-0.0480955413475457	-0.0363612467732969	-0.00133728268961568	0.000260624495930687	0.00916035389310115	0.159331889157544	-0.0386071833823678	0.00778264686242983	-0.0429122776377465	-0.0884014429451764	0.011768180241395	-0.132897221923886	-0.0316062781266295	0.0803444047160896	0.0406650635667261	-0.0441366608629917	-0.0215030408326475	0.0230986623682012	0.073033338346871
"WP-24"	-0.109715825397181	0.0181326693669344	0.0160790035486471	0.00050326417378214	-0.00543059141181347	0.0163024083075463	0.0276459393302393	0.0208300749566797	-0.0602361268174597	-0.043299587849091	-0.0907353746339645	0.22932366578179	-0.0859145444764494	0.00301733265683585	0.136083329564842	0.0447393437688173	0.0701043255965851	-0.12147787115686	-0.0641135108384865	0.0738778694746847
"WP-41"	-0.103151182629636	-0.00328959590060228	0.00979387058990188	0.0112575687905258	0.0362419208613608	-0.00597919866827635	-0.0105661272472584	0.0353573346932497	-0.048278744703737	-0.0493542233458632	0.0637784955314767	-0.0666687201489602	-0.0344238280869052	-0.0772153865466471	-0.0866539719127825	0.00133669924335579	0.087107879119225	-0.055667617687217	-0.104577699556064	0.0995955974919801
"WP-49"	-0.103485753802106	0.0236222579535046	-0.0204576350119624	-0.0165066682635903	0.00274967889244281	0.0121849009766078	-0.0575685047575466	-0.0318533919998115	-0.0518279422339837	-0.0144209079841696	-0.0378167719028542	0.0653566052423716	0.0379671244323298	0.00215509306099142	0.0247967677972145	-0.111990876999725	-0.0258997105715523	0.0398476649645155	-0.0656058533105803	0.017197045915246
"WK16-04"	0.0870734549850827	-0.129786706830925	-0.0477414646848866	0.0734205981974037	0.113001626764444	-0.0896947827280583	-0.157318063464426	-0.161221828561711	0.240730912854375	0.108592510585268	0.035458988251937	-0.0390921032689795	-0.157921424721299	-0.0704696777941995	0.212222653465958	-0.0284424843236287	-0.0422427107751218	-0.12988785235423	-0.0193448109417773	-0.136800944210881
"WK16-37"	0.0977767988189992	0.00698650531168778	-0.0907849559646126	0.0148788727036826	-0.0248940300858896	-0.017722861228955	-0.0104305654218283	-0.153933703284881	0.179872917056553	0.0921250600511003	0.0704990429250668	0.15487936736475	-0.0434635126829897	0.10719399665347	-0.124995043508889	0.00843708460441304	0.211874715381517	-0.0270805945604052	0.0306844113919866	0.0598864154424475
"WK16-54"	0.100239410860083	-0.171751736055891	0.0669866091892391	0.029588779536827	0.126822694783085	0.170513866293959	0.0407421892848544	-0.0118403314078541	0.0701055837715112	-0.0663815168997539	0.153430341354824	0.0736808368374276	-0.0018305732036235	-0.172685104461375	-0.0900256331461612	-0.101279286468905	-0.0232409501896228	-0.0936496892759766	0.240238749540195	0.300145308677052
"WK16-70"	0.11894465707654	-0.179123884186957	-0.172621535704454	-0.0914599239705912	-0.00355367329215142	-0.32754747464126	-0.183739560545634	-0.0620180850476279	-0.050555705623158	0.207903333966369	-0.0455548589708162	0.0779255128979061	-0.037546761268856	-0.298732629571958	0.0337070833365121	-0.0605680884972127	0.134802242022075	-0.0166901992408463	0.0416036772748229	0.0234399001435135
"WK16-86"	0.0920970139482926	-0.1544791697798	-0.243903021702186	0.0320454599085211	0.163144168264991	0.136596228465246	0.024063959910266	-0.0553281644917421	-0.0221625458940423	-0.196728920725269	0.0671195895380475	0.0860260522831304	0.00958570602950244	-0.0526974899782379	0.0287952874005479	-0.0802240814143223	0.0503499688056547	0.132371704906195	0.0185177971511483	-0.00111142872221373
"WP-01"	-0.0990886411807368	0.0272777987999216	0.0343767843332064	0.0119612508560964	0.0126012307717163	0.0344969286655316	-0.144713619939641	0.0384651475301544	-0.0582315826164119	0.00338333352960526	-0.0209792948705613	0.0634952236052125	0.112467095080704	0.0849954525622585	-0.0151264307356283	-0.0035928879432031	0.0275417993798827	-0.130660797252309	0.0669455797172144	0.00600484940564684
"WP-09"	-0.104802076385025	0.00361683576997032	0.00445691847598504	0.00671142632366442	-0.0302204938892045	-0.0647881902176137	0.0543878527142485	0.0252317694772705	0.00403379251557845	-0.00633907439210353	0.0716268234490968	-0.0941540897708275	-0.0129289019598273	-0.063907927518835	-0.0765497123172878	0.00739227034968479	0.0768985244801803	-0.0724741659213522	0.0421057863327901	-0.0445764835791544
"WP-17"	-0.112716876462515	0.00356464980138812	-0.0305227140079316	0.00692740592888339	-0.00404101655219937	-0.0500263912883793	0.0319563944120146	0.0421633166496257	0.0472112280890099	-0.00477870064059396	0.0772544087765238	-0.166147347075737	-0.0524529657579044	-0.144367062298109	-0.0336088532017195	-0.0310528991390628	0.0727209155058452	0.126455714568783	-0.220351050270324	0.0124199441160799
"WP-34"	-0.112754969681285	-0.0260764702187663	-0.0546745185172889	-0.0293606591344176	-0.00400477106560354	0.0218530008594814	0.147051863881588	-0.0794463718664497	0.00580131995474495	-0.0338785844225232	-0.184273348902481	-0.0586113252174795	-0.163071679713488	-0.0344837348139478	-0.0128779968584956	-0.0520508454658801	-0.15702785333671	0.151130813393241	0.127374414110517	-0.104435732789616
